                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     79,                 0.7722,                0.43053,                 1.0363,                0.94101,                0.93661,                0.93679,                 0.6965,                    nan,                    nan,                    nan,             0.00014237,             0.00014237,             0.00014237
                     80,                0.78704,                0.43616,                 1.0434,                0.93853,                0.93197,                 0.9369,                0.69361,                    nan,                    nan,                    nan,             0.00013619,             0.00013619,             0.00013619
                     81,                0.76647,                0.43193,                 1.0382,                0.94318,                0.93532,                0.93804,                0.69693,                    nan,                    nan,                    nan,                0.00013,                0.00013,                0.00013
                     82,                0.77773,                0.43241,                 1.0455,                0.93923,                0.93729,                0.93645,                0.69306,                    nan,                    nan,                    nan,             0.00012381,             0.00012381,             0.00012381
                     83,                0.77165,                0.42505,                 1.0364,                0.94675,                0.91993,                0.93438,                0.68983,                    nan,                    nan,                    nan,             0.00011763,             0.00011763,             0.00011763
                     84,                0.76125,                0.42481,                 1.0383,                 0.9491,                0.93052,                0.93691,                0.69083,                    nan,                    nan,                    nan,             0.00011144,             0.00011144,             0.00011144
                     85,                0.76487,                0.42364,                 1.0338,                0.95154,                0.92859,                 0.9367,                0.69296,                    nan,                    nan,                    nan,             0.00010525,             0.00010525,             0.00010525
                     86,                0.75468,                0.41726,                 1.0313,                0.94951,                0.92982,                0.93785,                0.69359,                    nan,                    nan,                    nan,             9.9063e-05,             9.9063e-05,             9.9063e-05
                     87,                0.77402,                0.42239,                 1.0297,                0.94169,                 0.9352,                0.93814,                0.69569,                    nan,                    nan,                    nan,             9.2875e-05,             9.2875e-05,             9.2875e-05
                     88,                0.75675,                0.42332,                 1.0313,                0.94157,                0.93918,                0.94086,                0.69781,                    nan,                    nan,                    nan,             8.6688e-05,             8.6688e-05,             8.6688e-05
                     89,                0.75273,                 0.4155,                 1.0305,                0.94621,                0.93123,                0.93787,                0.69486,                    nan,                    nan,                    nan,               8.05e-05,               8.05e-05,               8.05e-05
                     90,                0.75638,                0.41133,                 1.0275,                0.94017,                0.93746,                0.93558,                 0.6941,                    nan,                    nan,                    nan,             7.4312e-05,             7.4312e-05,             7.4312e-05
                     91,                0.77526,                0.39057,                 1.0377,                0.93646,                0.93674,                0.93132,                0.68572,                    nan,                    nan,                    nan,             6.8125e-05,             6.8125e-05,             6.8125e-05
                     92,                 0.7649,                0.38463,                 1.0282,                 0.9396,                0.93516,                0.93281,                 0.6882,                    nan,                    nan,                    nan,             6.1937e-05,             6.1937e-05,             6.1937e-05
                     93,                0.75973,                0.37739,                  1.031,                0.94482,                0.93292,                0.93606,                0.69229,                    nan,                    nan,                    nan,              5.575e-05,              5.575e-05,              5.575e-05
                     94,                0.75567,                0.37725,                 1.0363,                 0.9432,                0.93567,                0.93603,                 0.6902,                    nan,                    nan,                    nan,             4.9562e-05,             4.9562e-05,             4.9562e-05
                     95,                0.75042,                0.37209,                 1.0187,                0.94179,                0.93477,                0.93628,                0.68853,                    nan,                    nan,                    nan,             4.3375e-05,             4.3375e-05,             4.3375e-05
                     96,                0.74284,                0.36881,                 1.0215,                0.94293,                 0.9351,                0.93642,                0.68897,                    nan,                    nan,                    nan,             3.7188e-05,             3.7188e-05,             3.7188e-05
                     97,                0.74265,                0.37128,                 1.0207,                0.94438,                 0.9345,                0.93723,                 0.6917,                    nan,                    nan,                    nan,                3.1e-05,                3.1e-05,                3.1e-05
                     98,                0.73913,                0.36782,                 1.0154,                0.94363,                0.93566,                0.93535,                 0.6896,                    nan,                    nan,                    nan,             2.4813e-05,             2.4813e-05,             2.4813e-05
                     99,                0.73934,                0.36732,                 1.0131,                0.94407,                0.93467,                0.93611,                0.69217,                    nan,                    nan,                    nan,             1.8625e-05,             1.8625e-05,             1.8625e-05
                    100,                0.73529,                0.36342,                  1.015,                0.94531,                0.93546,                0.93629,                0.69263,                    nan,                    nan,                    nan,             1.2438e-05,             1.2438e-05,             1.2438e-05
